,Voltage (V),Current (I),Power (W),Power_Factor,Temperature (°C),Humidity (%),Shift,Energy_Efficiency,Hour,Humidity_Category,Humidity_Category_Encoded
0,222.48357076505616,4.642510346827825,965.0239427239868,0.8806260403498161,21.73485538269392,45.49483449171549,Night,849.8252135237922,0,Low,0
1,219.3086784941441,4.206038388884412,894.1581593934255,0.939144462847599,20.011890939641063,46.47750826887105,Night,839.7436843043364,0,Low,0
2,223.23844269050343,4.143615090890938,1102.598216168168,0.8641560126660531,17.952614653327824,64.19531613735208,Night,952.8168780565869,0,High,2
3,227.6151492820401,4.188551955797872,1006.9172628871974,0.9267108565858848,19.61309835519601,37.21486827108619,Night,933.1211592013092,0,Low,0
4,219.99291181877638,5.165738722384086,1081.262141859623,0.931754176348554,21.78324375647309,55.74166019693142,Night,1007.4705164052863,0,Medium,1
5,218.8293152152541,4.10332435165798,909.4106746721789,0.8802732218507843,17.83951795139614,37.69548090342554,Night,800.5298645791743,0,Low,0
6,227.89606407753692,4.673853749928076,1102.598216168168,0.9199696224133346,22.287877283264287,67.94680604791176,Night,1014.3568646018457,0,High,2
7,223.83717364576452,5.506399403828459,1230.0632214664313,0.9658070045417324,16.93473948018411,50.0037480373111,Night,1188.0036753214476,0,Medium,1
8,217.65262807032525,4.588696333030756,969.811500086367,0.9199696224133346,19.75783433056077,58.32855059313913,Night,892.1971195465646,0,Medium,1
9,222.7128002179298,5.526616154360259,1176.5261575285328,0.9108308676662176,17.456581679355754,55.86181561908028,Night,1071.6163408937146,0,Medium,1
10,217.68291153593768,5.490934076414111,1237.0607583975102,0.9805826299696032,15.0943402659783,42.14554095879557,Night,1213.0402919016224,0,Low,0
11,217.6713512321487,4.491654265266432,1032.1707677899522,0.920575249877944,21.078444563633767,66.04791041692508,Night,950.1908624749445,0,High,2
12,221.20981135783015,5.4576443601854905,1297.5790054236602,0.95151871965666,20.02131728552764,55.08994674862653,Night,1234.6707138940835,0,Medium,1
13,210.43359877671105,5.495553276544202,1076.7303866564753,0.9657612455377772,17.614136464850628,50.41272077590166,Night,1039.86447932573,0,Medium,1
14,211.37541083743483,4.794907851334054,1078.970085764476,0.8785284124783689,19.406497411362647,51.13442773798275,Night,947.9058765583145,0,Medium,1
15,217.18856235379516,4.420840967483036,913.0701975919744,0.8805504129746106,21.354762037233847,65.62762096568818,Night,804.0043395644224,0,High,2
16,214.93584439832787,5.042541613783738,1068.0720421733365,0.9562028038537737,19.766194054828684,32.364778913370806,Night,1021.2934814439703,0,Low,0
17,221.5712366629764,5.842795176000393,1398.5367787303132,0.9554629433446962,20.136508002703117,45.562483683643485,Night,1336.2500669814751,0,Low,0
18,215.45987962239397,5.279233464864124,1102.598216168168,0.8584256648895466,19.76832866808905,63.66510111276052,Night,946.4986068201877,0,High,2
